Категория;Описание
Газированная вода;Газированная вода с легким вкусом лимона, освежающая и тонизирующая.
Газированная вода;Освежающий напиток с пузырьками на основе минеральной воды.
Газированная вода;Питьевая вода, насыщенная углекислым газом, с лёгкой кислотностью.
Газированная вода;Прохладительный напиток из воды, в том числе минеральной, насыщенной углекислым газом.
Наушники;Беспроводные наушники с шумоподавлением и зарядным чехлом.
Наушники;Компактные Bluetooth-наушники с активным шумоподавлением.
Наушники;Легкие наушники без проводов с чехлом и функцией шумоподавления.
Наушники;Наушники True Wireless с ANC и поддержкой сенсорного управления.
Футболка;Мягкая хлопковая футболка с коротким рукавом и круглым вырезом.
Футболка;Базовая футболка из натурального хлопка с удобной посадкой.
Футболка;Простая белая футболка из 100% хлопка.
Футболка;Классическая мужская футболка из мягкой ткани.
Смартфон;Смартфон с большим экраном, двойной камерой и мощным аккумулятором.
Смартфон;"Мобильный телефон с дисплеем 6.5"", двумя камерами и ёмкой батареей."
Смартфон;Устройство с сенсорным экраном, двойной камерой и ёмким аккумулятором.
Смартфон;Современный смартфон с хорошей камерой и долгоиграющей батареей.
Рюкзак;Рюкзак с отделением для ноутбука и водоотталкивающей тканью.
Рюкзак;Городской рюкзак с карманом под ноутбук и защитой от влаги.
Рюкзак;Практичный рюкзак с мягкой спинкой и отсеком для гаджетов.
Рюкзак;Универсальный рюкзак для города с отделением под технику.
Кружка;Керамическая кружка с ручкой, объём 330 мл, подходит для микроволновки.
Кружка;Белая кружка из керамики, объём 330 мл, для горячих и холодных напитков.
Кружка;Чашка объёмом 330 мл из термостойкой керамики.
Кружка;Кружка классической формы, объём 330 мл, устойчивая к нагреву.
Настольная лампа;Настольная лампа с гибким основанием и тёплым светом.
Настольная лампа;Светильник настольный с поворотной ножкой и мягким освещением.
Настольная лампа;Лампа для рабочего стола с регулируемым углом наклона.
Электрочайник;Электрический чайник объёмом 1.7 литра с автоотключением при закипании.
Электрочайник;Чайник с функцией автоматического отключения и защитой от перегрева.
Электрочайник;Быстронагревающийся электрочайник с фильтром и защитой от накипи.
Электрочайник;Электрочайник с автоматическим отключением и защитой от перегрева.
Блендер;Блендер с несколькими насадками и чашей объёмом 1.5 литра.
Блендер;Стационарный блендер для коктейлей и пюре с мощным мотором.
Блендер;Кухонный блендер с измельчителем, миксером и пластиковым кувшином.
Специи;Уникальный набор специй из трёх континентов с авторским сочетанием вкусов.
Часы;Настенные часы в стиле ретро с маятником и римскими цифрами.
Шахматы;Набор деревянных шахмат ручной работы в подарочной упаковке.
Термокружка;Термокружка с двойными стенками, сохраняющая тепло до 6 часов.
Компьютерная мышь;Игровая мышь с RGB-подсветкой и настраиваемыми кнопками.
Штатив;Профессиональный штатив для камеры с регулируемой высотой и фиксаторами.
